MEDV,CRIM,INDUS,CHAS,NOX,RM,PTRATIO
31.6,0.01432,1.32,0,0.411,6,15.1
23.3,0.15445,5.13,0,0.453,6,19.7
19.6,0.10328,5.13,0,0.453,5,19.7
18.7,0.14932,5.13,0,0.453,5,19.7
16.0,0.17171,5.13,0,0.453,5,19.7
22.2,0.11027,5.13,0,0.453,6,19.7
25.0,0.1265,5.13,0,0.453,6,19.7
33.0,0.01951,1.38,0,0.4161,7,18.6
23.5,0.03584,3.37,0,0.398,6,16.1
19.4,0.04379,3.37,0,0.398,5,16.1
22.0,0.05789,6.07,0,0.409,5,18.9
17.4,0.13554,6.07,0,0.409,5,18.9
20.9,0.12816,6.07,0,0.409,5,18.9
24.2,0.08826,10.81,0,0.413,6,19.2
21.7,0.15876,10.81,0,0.413,5,19.2
22.8,0.09164,10.81,0,0.413,6,19.2
23.4,0.19539,10.81,0,0.413,6,19.2
24.1,0.07896,12.83,0,0.437,6,18.7
21.4,0.09512,12.83,0,0.437,6,18.7
20.0,0.10153,12.83,0,0.437,6,18.7
20.8,0.08707,12.83,0,0.437,6,18.7
21.2,0.05646,12.83,0,0.437,6,18.7
20.3,0.08387,12.83,0,0.437,5,18.7
28.0,0.04113,4.86,0,0.426,6,19.0
23.9,0.04462,4.86,0,0.426,6,19.0
24.8,0.03659,4.86,0,0.426,6,19.0
22.9,0.03551,4.86,0,0.426,6,19.0
23.9,0.05059,4.49,0,0.449,6,18.5
26.6,0.05735,4.49,0,0.449,6,18.5
22.5,0.05188,4.49,0,0.449,6,18.5
22.2,0.07151,4.49,0,0.449,6,18.5
23.6,0.0566,3.41,0,0.489,7,17.8
28.7,0.05302,3.41,0,0.489,7,17.8
22.6,0.04684,3.41,0,0.489,6,17.8
22.0,0.03932,3.41,0,0.489,6,17.8
22.9,0.04203,15.04,0,0.464,6,18.2
25.0,0.02875,15.04,0,0.464,6,18.2
20.6,0.04294,15.04,0,0.464,6,18.2
28.4,0.12204,2.89,0,0.445,6,18.0
21.4,0.11504,2.89,0,0.445,6,18.0
38.7,0.12083,2.89,0,0.445,8,18.0
43.8,0.08187,2.89,0,0.445,7,18.0
33.2,0.0686,2.89,0,0.445,7,18.0
27.5,0.14866,8.56,0,0.52,6,20.9
26.5,0.11432,8.56,0,0.52,6,20.9
18.6,0.22876,8.56,0,0.52,6,20.9
19.3,0.21161,8.56,0,0.52,6,20.9
20.1,0.1396,8.56,0,0.52,6,20.9
19.5,0.13262,8.56,0,0.52,5,20.9
19.5,0.1712,8.56,0,0.52,5,20.9
20.4,0.13117,8.56,0,0.52,6,20.9
19.8,0.12802,8.56,0,0.52,6,20.9
19.4,0.26363,8.56,0,0.52,6,20.9
21.7,0.10793,8.56,0,0.52,6,20.9
22.8,0.10084,10.01,0,0.547,6,17.8
18.8,0.12329,10.01,0,0.547,5,17.8
18.7,0.22212,10.01,0,0.547,6,17.8
18.5,0.14231,10.01,0,0.547,6,17.8
18.3,0.17134,10.01,0,0.547,5,17.8
21.2,0.13158,10.01,0,0.547,6,17.8
19.2,0.15098,10.01,0,0.547,6,17.8
20.4,0.13058,10.01,0,0.547,5,17.8
19.3,0.14476,10.01,0,0.547,5,17.8
22.0,0.06899,25.65,0,0.581,5,19.1
20.3,0.07165,25.65,0,0.581,6,19.1
20.5,0.09299,25.65,0,0.581,5,19.1
17.3,0.15038,25.65,0,0.581,5,19.1
18.8,0.09849,25.65,0,0.581,5,19.1
21.4,0.16902,25.65,0,0.581,5,19.1
15.7,0.38735,25.65,0,0.581,5,19.1
16.2,0.25915,21.89,0,0.624,5,21.2
18.0,0.32543,21.89,0,0.624,6,21.2
14.3,0.88125,21.89,0,0.624,5,21.2
19.2,0.34006,21.89,0,0.624,6,21.2
19.6,1.19294,21.89,0,0.624,6,21.2
23.0,0.59005,21.89,0,0.624,6,21.2
18.4,0.32982,21.89,0,0.624,5,21.2
15.6,0.97617,21.89,0,0.624,5,21.2
18.1,0.55778,21.89,0,0.624,6,21.2
17.4,0.32264,21.89,0,0.624,5,21.2
17.1,0.35233,21.89,0,0.624,6,21.2
13.3,0.2498,21.89,0,0.624,5,21.2
17.8,0.54452,21.89,0,0.624,6,21.2
14.0,0.2909,21.89,0,0.624,6,21.2
14.4,1.62864,21.89,0,0.624,5,21.2
13.4,3.32105,19.58,1,0.871,5,14.7
15.6,4.0974,19.58,0,0.871,5,14.7
11.8,2.77974,19.58,0,0.871,4,14.7
13.8,2.37934,19.58,0,0.871,6,14.7
15.6,2.15505,19.58,0,0.871,5,14.7
14.6,2.36862,19.58,0,0.871,4,14.7
17.8,2.33099,19.58,0,0.871,5,14.7
15.4,2.73397,19.58,0,0.871,5,14.7
21.5,1.6566,19.58,0,0.871,6,14.7
19.6,1.49632,19.58,0,0.871,5,14.7
15.3,1.12658,19.58,1,0.871,5,14.7
19.4,2.14918,19.58,0,0.871,5,14.7
17.0,1.41385,19.58,1,0.871,6,14.7
15.6,3.53501,19.58,1,0.871,6,14.7
13.1,2.44668,19.58,0,0.871,5,14.7
41.3,1.22358,19.58,0,0.605,6,14.7
24.3,1.34284,19.58,0,0.605,6,14.7
23.3,1.42502,19.58,0,0.871,6,14.7
27.0,1.27346,19.58,1,0.605,6,14.7
50.0,1.46336,19.58,0,0.605,7,14.7
50.0,1.83377,19.58,1,0.605,7,14.7
50.0,1.51902,19.58,1,0.605,8,14.7
22.7,2.24236,19.58,0,0.605,5,14.7
25.0,2.924,19.58,0,0.605,6,14.7
50.0,2.01019,19.58,0,0.605,7,14.7
23.8,1.80028,19.58,0,0.605,5,14.7
23.8,2.3004,19.58,0,0.605,6,14.7
22.3,2.44953,19.58,0,0.605,6,14.7
17.4,1.20742,19.58,0,0.605,5,14.7
19.1,2.3139,19.58,0,0.605,5,14.7
23.1,0.13914,4.05,0,0.51,5,16.6
23.6,0.09178,4.05,0,0.51,6,16.6
22.6,0.08447,4.05,0,0.51,5,16.6
29.4,0.06664,4.05,0,0.51,6,16.6
23.2,0.07022,4.05,0,0.51,6,16.6
24.6,0.05425,4.05,0,0.51,6,16.6
29.9,0.06642,4.05,0,0.51,6,16.6
37.2,0.0578,2.46,0,0.488,6,17.8
39.8,0.06588,2.46,0,0.488,7,17.8
36.2,0.06888,2.46,0,0.488,6,17.8
37.9,0.09103,2.46,0,0.488,7,17.8
32.5,0.10008,2.46,0,0.488,6,17.8
26.4,0.08308,2.46,0,0.488,5,17.8
29.6,0.06047,2.46,0,0.488,6,17.8
50.0,0.05602,2.46,0,0.488,7,17.8
32.0,0.07875,3.44,0,0.437,6,15.2
29.8,0.12579,3.44,0,0.437,6,15.2
34.9,0.0837,3.44,0,0.437,7,15.2
33.0,0.09068,3.44,0,0.437,6,15.2
30.5,0.06911,3.44,0,0.437,6,15.2
36.4,0.08664,3.44,0,0.437,7,15.2
31.1,0.02187,2.93,0,0.401,6,15.6
29.1,0.01439,2.93,0,0.401,6,15.6
50.0,0.01381,0.46,0,0.422,7,14.4
33.3,0.04011,1.52,0,0.404,7,12.6
30.3,0.04666,1.52,0,0.404,7,12.6
34.6,0.03768,1.52,0,0.404,7,12.6
34.9,0.0315,1.47,0,0.403,6,17.0
32.9,0.01778,1.47,0,0.403,7,17.0
24.1,0.03445,2.03,0,0.415,6,14.7
42.3,0.02177,2.03,0,0.415,7,14.7
48.5,0.0351,2.68,0,0.4161,7,14.7
50.0,0.02009,2.68,0,0.4161,8,14.7
22.6,0.13642,10.59,0,0.489,5,18.6
24.4,0.22969,10.59,0,0.489,6,18.6
22.5,0.25199,10.59,0,0.489,5,18.6
24.4,0.13587,10.59,1,0.489,6,18.6
20.0,0.43571,10.59,1,0.489,5,18.6
21.7,0.17446,10.59,1,0.489,5,18.6
19.3,0.37578,10.59,1,0.489,5,18.6
22.4,0.21719,10.59,1,0.489,5,18.6
28.1,0.14052,10.59,0,0.489,6,18.6
23.7,0.28955,10.59,0,0.489,5,18.6
25.0,0.19802,10.59,0,0.489,6,18.6
23.3,0.0456,13.89,1,0.55,5,16.4
28.7,0.07013,13.89,0,0.55,6,16.4
21.5,0.11069,13.89,1,0.55,5,16.4
23.0,0.11425,13.89,1,0.55,6,16.4
26.7,0.35809,6.2,1,0.507,6,17.4
21.7,0.40771,6.2,1,0.507,6,17.4
27.5,0.62356,6.2,1,0.507,6,17.4
30.1,0.6147,6.2,0,0.507,6,17.4
44.8,0.31533,6.2,0,0.504,8,17.4
50.0,0.52693,6.2,0,0.504,8,17.4
37.6,0.38214,6.2,0,0.504,8,17.4
31.6,0.41238,6.2,0,0.504,7,17.4
46.7,0.29819,6.2,0,0.504,7,17.4
31.5,0.44178,6.2,0,0.504,6,17.4
24.3,0.537,6.2,0,0.504,5,17.4
31.7,0.46296,6.2,0,0.504,7,17.4
41.7,0.57529,6.2,0,0.507,8,17.4
48.3,0.33147,6.2,0,0.507,8,17.4
29.0,0.44791,6.2,1,0.507,6,17.4
24.0,0.33045,6.2,0,0.507,6,17.4
25.1,0.52058,6.2,1,0.507,6,17.4
31.5,0.51183,6.2,0,0.507,7,17.4
23.7,0.08244,4.93,0,0.428,6,16.6
23.3,0.09252,4.93,0,0.428,6,16.6
27.0,0.11329,4.93,0,0.428,6,16.6
20.1,0.10612,4.93,0,0.428,6,16.6
22.2,0.1029,4.93,0,0.428,6,16.6
23.7,0.12757,4.93,0,0.428,6,16.6
17.6,0.20608,5.86,0,0.431,5,19.1
18.5,0.19133,5.86,0,0.431,5,19.1
24.3,0.33983,5.86,0,0.431,6,19.1
20.5,0.19657,5.86,0,0.431,6,19.1
24.5,0.16439,5.86,0,0.431,6,19.1
26.2,0.19073,5.86,0,0.431,6,19.1
24.4,0.1403,5.86,0,0.431,6,19.1
24.8,0.21409,5.86,0,0.431,6,19.1
29.6,0.08221,5.86,0,0.431,6,19.1
42.8,0.36894,5.86,0,0.431,8,19.1
21.9,0.04819,3.64,0,0.392,6,16.4
20.9,0.03548,3.64,0,0.392,5,16.4
44.0,0.01538,3.75,0,0.394,7,15.9
50.0,0.61154,3.97,0,0.647,8,13.0
36.0,0.66351,3.97,0,0.647,7,13.0
30.1,0.65665,3.97,0,0.647,6,13.0
33.8,0.54011,3.97,0,0.647,7,13.0
43.1,0.53412,3.97,0,0.647,7,13.0
48.8,0.52014,3.97,0,0.647,8,13.0
31.0,0.82526,3.97,0,0.647,7,13.0
36.5,0.55007,3.97,0,0.647,7,13.0
22.8,0.76162,3.97,0,0.647,5,13.0
30.7,0.7857,3.97,0,0.647,7,13.0
50.0,0.57834,3.97,0,0.575,8,13.0
43.5,0.5405,3.97,0,0.575,7,13.0
20.7,0.09065,6.96,1,0.464,5,18.6
21.1,0.29916,6.96,0,0.464,5,18.6
25.2,0.16211,6.96,0,0.464,6,18.6
24.4,0.1146,6.96,0,0.464,6,18.6
35.2,0.22188,6.96,1,0.464,7,18.6
32.4,0.05644,6.41,1,0.447,6,17.6
32.0,0.09604,6.41,0,0.447,6,17.6
33.2,0.10469,6.41,1,0.447,7,17.6
33.1,0.06127,6.41,1,0.447,6,17.6
29.1,0.07978,6.41,0,0.447,6,17.6
35.1,0.21038,3.33,0,0.4429,6,14.9
45.4,0.03578,3.33,0,0.4429,7,14.9
35.4,0.03705,3.33,0,0.4429,6,14.9
46.0,0.06129,3.33,1,0.4429,7,14.9
50.0,0.01501,1.21,1,0.401,7,13.6
32.2,0.00906,2.97,0,0.4,7,15.3
22.0,0.01096,2.25,0,0.389,6,15.3
20.1,0.01965,1.76,0,0.385,6,18.2
23.2,0.03871,5.32,0,0.405,6,16.6
22.3,0.0459,5.32,0,0.405,6,16.6
24.8,0.04297,5.32,0,0.405,6,16.6
28.5,0.03502,4.95,0,0.411,6,19.2
37.3,0.07886,4.95,0,0.411,7,19.2
27.9,0.03615,4.95,0,0.411,6,19.2
23.9,0.08265,13.92,0,0.437,6,16.0
21.7,0.08199,13.92,0,0.437,6,16.0
28.6,0.12932,13.92,0,0.437,6,16.0
27.1,0.05372,13.92,0,0.437,6,16.0
20.3,0.14103,13.92,0,0.437,5,16.0
22.5,0.06466,2.24,0,0.4,6,14.8
29.0,0.05561,2.24,0,0.4,7,14.8
24.8,0.04417,2.24,0,0.4,6,14.8
22.0,0.03537,6.09,0,0.433,6,16.1
26.4,0.09266,6.09,0,0.433,6,16.1
33.1,0.1,6.09,0,0.433,6,16.1
36.1,0.05515,2.18,0,0.472,7,18.4
28.4,0.05479,2.18,0,0.472,6,18.4
33.4,0.07503,2.18,0,0.472,7,18.4
28.2,0.04932,2.18,0,0.472,6,18.4
22.8,0.49298,9.9,0,0.544,6,18.4
20.3,0.3494,9.9,0,0.544,5,18.4
16.1,2.63548,9.9,0,0.544,4,18.4
22.1,0.79041,9.9,0,0.544,6,18.4
19.4,0.26169,9.9,0,0.544,6,18.4
21.6,0.26938,9.9,0,0.544,6,18.4
23.8,0.3692,9.9,0,0.544,6,18.4
16.2,0.25356,9.9,0,0.544,5,18.4
17.8,0.31827,9.9,0,0.544,5,18.4
19.8,0.24522,9.9,0,0.544,5,18.4
23.1,0.40202,9.9,0,0.544,6,18.4
21.0,0.47547,9.9,0,0.544,6,18.4
23.8,0.1676,7.38,0,0.493,6,19.6
23.1,0.18159,7.38,0,0.493,6,19.6
20.4,0.35114,7.38,0,0.493,6,19.6
18.5,0.28392,7.38,0,0.493,5,19.6
25.0,0.34109,7.38,0,0.493,6,19.6
24.6,0.19186,7.38,0,0.493,6,19.6
23.0,0.30347,7.38,0,0.493,6,19.6
22.2,0.24103,7.38,0,0.493,6,19.6
19.3,0.06617,3.24,0,0.46,5,16.9
22.6,0.06724,3.24,0,0.46,6,16.9
19.8,0.04544,3.24,0,0.46,6,16.9
17.1,0.05023,6.06,0,0.4379,5,16.9
19.4,0.03466,6.06,0,0.4379,6,16.9
22.2,0.05083,5.19,0,0.515,6,20.2
20.7,0.03738,5.19,0,0.515,6,20.2
21.1,0.03961,5.19,0,0.515,6,20.2
19.5,0.03427,5.19,0,0.515,5,20.2
18.5,0.03041,5.19,0,0.515,5,20.2
20.6,0.03306,5.19,0,0.515,6,20.2
19.0,0.05497,5.19,0,0.515,5,20.2
18.7,0.06151,5.19,0,0.515,5,20.2
32.7,0.01301,1.52,0,0.442,7,15.5
16.5,0.02498,1.89,0,0.518,6,15.9
23.9,0.02543,3.78,0,0.484,6,17.6
31.2,0.03049,3.78,0,0.484,6,17.6
17.5,0.03113,4.39,0,0.442,6,18.8
17.2,0.06162,4.39,0,0.442,5,18.8
23.1,0.0187,4.15,0,0.429,6,17.9
24.5,0.01501,2.01,0,0.435,6,17.0
26.6,0.02899,1.25,0,0.429,6,19.7
22.9,0.06211,1.25,0,0.429,6,19.7
24.1,0.0795,1.69,0,0.411,6,18.3
18.6,0.07244,1.69,0,0.411,5,18.3
30.1,0.01709,2.02,0,0.41,6,17.0
18.2,0.04301,1.91,0,0.413,5,22.0
20.6,0.10659,1.91,0,0.413,5,22.0
17.8,8.98296,18.1,1,0.77,6,20.2
21.7,3.8497,18.1,1,0.77,6,20.2
22.7,5.20177,18.1,1,0.77,6,20.2
22.6,4.26131,18.1,0,0.77,6,20.2
25.0,4.54192,18.1,0,0.77,6,20.2
19.9,3.83684,18.1,0,0.77,6,20.2
20.8,3.67822,18.1,0,0.77,5,20.2
16.8,4.22239,18.1,1,0.77,5,20.2
21.9,3.47428,18.1,1,0.718,8,20.2
27.5,4.55587,18.1,0,0.718,3,20.2
21.9,3.69695,18.1,0,0.718,4,20.2
23.1,13.5222,18.1,0,0.631,3,20.2
50.0,4.89822,18.1,0,0.631,4,20.2
50.0,5.66998,18.1,1,0.631,6,20.2
50.0,6.53876,18.1,1,0.631,7,20.2
50.0,9.2323,18.1,0,0.631,6,20.2
50.0,8.26725,18.1,1,0.668,5,20.2
13.8,11.1081,18.1,0,0.668,4,20.2
13.8,18.4982,18.1,0,0.668,4,20.2
15.0,19.6091,18.1,0,0.671,7,20.2
13.9,15.288,18.1,0,0.671,6,20.2
13.3,9.82349,18.1,0,0.671,6,20.2
13.1,23.6482,18.1,0,0.671,6,20.2
10.2,17.8667,18.1,0,0.671,6,20.2
10.4,88.9762,18.1,0,0.671,6,20.2
10.9,15.8744,18.1,0,0.671,6,20.2
11.3,9.18702,18.1,0,0.7,5,20.2
12.3,7.99248,18.1,0,0.7,5,20.2
8.8,20.0849,18.1,0,0.7,4,20.2
7.2,16.8118,18.1,0,0.7,5,20.2
10.5,24.3938,18.1,0,0.7,4,20.2
7.4,22.5971,18.1,0,0.7,5,20.2
10.2,14.3337,18.1,0,0.7,4,20.2
11.5,8.15174,18.1,0,0.7,5,20.2
15.1,6.96215,18.1,0,0.7,5,20.2
23.2,5.29305,18.1,0,0.7,6,20.2
9.7,11.5779,18.1,0,0.7,5,20.2
13.8,8.64476,18.1,0,0.693,6,20.2
12.7,13.3598,18.1,0,0.693,5,20.2
13.1,8.71675,18.1,0,0.693,6,20.2
12.5,5.87205,18.1,0,0.693,6,20.2
8.5,7.67202,18.1,0,0.693,5,20.2
5.0,38.3518,18.1,0,0.693,5,20.2
6.3,9.91655,18.1,0,0.693,5,20.2
5.6,25.0461,18.1,0,0.693,5,20.2
7.2,14.2362,18.1,0,0.693,6,20.2
12.1,9.59571,18.1,0,0.693,6,20.2
8.3,24.8017,18.1,0,0.693,5,20.2
8.5,41.5292,18.1,0,0.693,5,20.2
5.0,67.9208,18.1,0,0.693,5,20.2
11.9,20.7162,18.1,0,0.659,4,20.2
27.9,11.9511,18.1,0,0.659,5,20.2
17.2,7.40389,18.1,0,0.597,5,20.2
27.5,14.4383,18.1,0,0.597,6,20.2
15.0,51.1358,18.1,0,0.597,5,20.2
17.2,14.0507,18.1,0,0.597,6,20.2
17.9,18.811,18.1,0,0.597,4,20.2
16.3,28.6558,18.1,0,0.597,5,20.2
7.0,45.7461,18.1,0,0.693,4,20.2
7.2,18.0846,18.1,0,0.679,6,20.2
7.5,10.8342,18.1,0,0.679,6,20.2
10.4,25.9406,18.1,0,0.679,5,20.2
8.8,73.5341,18.1,0,0.679,5,20.2
8.4,11.8123,18.1,0,0.718,6,20.2
16.7,11.0874,18.1,0,0.718,6,20.2
14.2,7.02259,18.1,0,0.718,6,20.2
20.8,12.0482,18.1,0,0.614,5,20.2
13.4,7.05042,18.1,0,0.614,6,20.2
11.7,8.79212,18.1,0,0.584,5,20.2
8.3,15.8603,18.1,0,0.679,5,20.2
10.2,12.2472,18.1,0,0.584,5,20.2
10.9,37.6619,18.1,0,0.679,6,20.2
11.0,7.36711,18.1,0,0.679,6,20.2
9.5,9.33889,18.1,0,0.679,6,20.2
14.5,8.49213,18.1,0,0.584,6,20.2
14.1,10.0623,18.1,0,0.584,6,20.2
16.1,6.44405,18.1,0,0.584,6,20.2
14.3,5.58107,18.1,0,0.713,6,20.2
11.7,13.9134,18.1,0,0.713,6,20.2
13.4,11.1604,18.1,0,0.74,6,20.2
9.6,14.4208,18.1,0,0.74,6,20.2
8.2,15.1772,18.1,0,0.74,6,20.2
8.4,13.6781,18.1,0,0.74,5,20.2
12.8,9.39063,18.1,0,0.74,5,20.2
10.5,22.0511,18.1,0,0.74,5,20.2
17.1,9.72418,18.1,0,0.74,6,20.2
14.8,5.66637,18.1,0,0.74,6,20.2
15.4,9.96654,18.1,0,0.74,6,20.2
10.8,12.8023,18.1,0,0.74,5,20.2
11.8,10.6718,18.1,0,0.74,6,20.2
14.9,6.28807,18.1,0,0.74,6,20.2
12.6,9.92485,18.1,0,0.74,6,20.2
14.1,9.32909,18.1,0,0.713,6,20.2
13.0,7.52601,18.1,0,0.713,6,20.2
13.4,6.71772,18.1,0,0.713,6,20.2
15.2,5.44114,18.1,0,0.713,6,20.2
16.1,5.09017,18.1,0,0.713,6,20.2
17.8,8.24809,18.1,0,0.713,7,20.2
14.4,9.51363,18.1,0,0.713,6,20.2
14.1,4.75237,18.1,0,0.713,6,20.2
12.7,4.66883,18.1,0,0.713,5,20.2
13.5,8.20058,18.1,0,0.713,5,20.2
14.9,7.75223,18.1,0,0.713,6,20.2
20.0,6.80117,18.1,0,0.713,6,20.2
16.4,4.81213,18.1,0,0.713,6,20.2
17.7,3.69311,18.1,0,0.713,6,20.2
19.5,6.65492,18.1,0,0.713,6,20.2
20.2,5.82115,18.1,0,0.713,6,20.2
21.4,7.83932,18.1,0,0.655,6,20.2
19.9,3.1636,18.1,0,0.655,5,20.2
19.0,3.77498,18.1,0,0.655,5,20.2
19.1,4.42228,18.1,0,0.584,6,20.2
19.1,15.5757,18.1,0,0.58,5,20.2
20.1,13.0751,18.1,0,0.58,5,20.2
19.9,4.34879,18.1,0,0.58,6,20.2
19.6,4.03841,18.1,0,0.532,6,20.2
23.2,3.56868,18.1,0,0.58,6,20.2
29.8,4.64689,18.1,0,0.614,6,20.2
13.8,8.05579,18.1,0,0.584,5,20.2
13.3,6.39312,18.1,0,0.584,6,20.2
16.7,4.87141,18.1,0,0.614,6,20.2
12.0,15.0234,18.1,0,0.614,5,20.2
14.6,10.233,18.1,0,0.614,6,20.2
21.4,14.3337,18.1,0,0.614,6,20.2
23.0,5.82401,18.1,0,0.532,6,20.2
23.7,5.70818,18.1,0,0.532,6,20.2
25.0,5.73116,18.1,0,0.532,7,20.2
21.8,2.81838,18.1,0,0.532,5,20.2
20.6,2.37857,18.1,0,0.583,5,20.2
21.2,3.67367,18.1,0,0.583,6,20.2
19.1,5.69175,18.1,0,0.583,6,20.2
20.6,4.83567,18.1,0,0.583,5,20.2
15.2,0.15086,27.74,0,0.609,5,20.1
7.0,0.18337,27.74,0,0.609,5,20.1
8.1,0.20746,27.74,0,0.609,5,20.1
13.6,0.10574,27.74,0,0.609,5,20.1
20.1,0.11132,27.74,0,0.609,5,20.1
21.8,0.17331,9.69,0,0.585,5,19.2
24.5,0.27957,9.69,0,0.585,5,19.2
23.1,0.17899,9.69,0,0.585,5,19.2
19.7,0.2896,9.69,0,0.585,5,19.2
18.3,0.26838,9.69,0,0.585,5,19.2
21.2,0.23912,9.69,0,0.585,6,19.2
17.5,0.17783,9.69,0,0.585,5,19.2
16.8,0.22438,9.69,0,0.585,6,19.2
22.4,0.06263,11.93,0,0.573,6,21.0
20.6,0.04527,11.93,0,0.573,6,21.0
23.9,0.06076,11.93,0,0.573,6,21.0
22.0,0.10959,11.93,0,0.573,6,21.0
19.0,0.04741,11.93,0,0.573,6,21.0
